1,睦月
2,如月
3,
4,
5,
6,長月
7,三日月
8,
9,吹雪
10,白雪
11,深雪
12,磯波
13,綾波
14,敷波
15,曙
16,潮
17,陽炎
18,不知火
19,黒潮
20,雪風
21,長良
22,五十鈴
23,由良
24,大井
25,北上
26,扶桑
27,山城
28,皐月
29,文月
30,菊月
31,望月
32,初雪
33,叢雲
34,暁
35,響
36,雷
37,電
38,初春
39,子日
40,若葉
41,初霜
42,白露
43,時雨
44,村雨
45,夕立
46,五月雨
47,涼風
48,霰
49,霞
50,島風
51,天龍
52,龍田
53,名取
54,川内
55,神通
56,那珂
57,大井改
58,北上改
59,古鷹
60,加古
61,青葉
62,妙高
63,那智
64,足柄
65,羽黒
66,高雄
67,愛宕
68,摩耶
69,鳥海
70,最上
71,利根
72,筑摩
73,最上改
74,祥鳳
75,飛鷹
76,龍驤
77,伊勢
78,金剛
79,榛名
80,長門
81,陸奥
82,伊勢改
83,赤城
84,加賀
85,霧島
86,比叡
87,日向
88,日向改
89,鳳翔
90,蒼龍
91,飛龍
92,隼鷹
93,朧
94,漣
95,朝潮
96,大潮
97,満潮
98,荒潮
99,球磨
100,多摩
101,木曽
102,千歳
103,千代田
104,千歳改
105,千代田改
106,千歳甲
107,千代田甲
108,千歳航
109,千代田航
110,翔鶴
111,瑞鶴
112,瑞鶴改
113,鬼怒
114,阿武隈
115,夕張
116,瑞鳳
117,瑞鳳改
118,大井改二
119,北上改二
120,三隈
121,三隈改
122,舞風
123,衣笠
124,鈴谷
125,熊野
126,伊168
127,伊58
128,伊8
129,鈴谷改
130,熊野改
131,大和
132,秋雲
133,夕雲
134,巻雲
135,長波
136,大和改
137,阿賀野
138,能代
139,矢矧
140,
141,五十鈴改二
142,
143,武蔵
144,夕立改二
145,時雨改二
146,
147,Верный
148,武蔵改
149,金剛改二
150,比叡改二
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,初風
191,伊19
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,吹雪改
202,白雪改
203,初雪改
204,深雪改
205,叢雲改
206,磯波改
207,綾波改
208,敷波改
209,金剛改
210,比叡改
211,榛名改
212,霧島改
213,天龍改
214,龍田改
215,球磨改
216,多摩改
217,木曽改
218,長良改
219,五十鈴改
220,由良改
221,名取改
222,川内改
223,神通改
224,那珂改
225,陽炎改
226,不知火改
227,黒潮改
228,雪風改
229,島風改
230,朧改
231,曙改
232,漣改
233,潮改
234,暁改
235,響改
236,雷改
237,電改
238,初春改
239,子日改
240,若葉改
241,初霜改
242,白露改
243,時雨改
244,村雨改
245,夕立改
246,五月雨改
247,涼風改
248,朝潮改
249,大潮改
250,満潮改
251,荒潮改
252,霰改
253,霞改
254,睦月改
255,如月改
256,皐月改
257,文月改
258,長月改
259,菊月改
260,三日月改
261,望月改
262,古鷹改
263,加古改
264,青葉改
265,妙高改
266,那智改
267,足柄改
268,羽黒改
269,高雄改
270,愛宕改
271,摩耶改
272,鳥海改
273,利根改
274,筑摩改
275,長門改
276,陸奥改
277,赤城改
278,加賀改
279,蒼龍改
280,飛龍改
281,龍驤改
282,祥鳳改
283,飛鷹改
284,隼鷹改
285,鳳翔改
286,扶桑改
287,山城改
288,翔鶴改
289,鬼怒改
290,阿武隈改
291,千歳航改
292,千代田航改
293,夕張改
294,舞風改
295,衣笠改
296,千歳航改二
297,千代田航改二
298,
299,
300,初風改
301,秋雲改
302,夕雲改
303,巻雲改
304,長波改
305,阿賀野改
306,能代改
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,
341,
342,
343,
344,
345,
346,
347,
348,
349,
350,
351,
352,
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,伊168改
399,伊58改
400,伊8改
401,伊19改
402,
403,矢矧改
404,
405,
406,
407,
408,
409,
410,
411,
412,
413,
414,
415,
416,
417,
418,
419,
420,
