1,0
2,100
3,300
4,600
5,1000
6,1500
7,2100
8,2800
9,3600
10,4500
11,5500
12,6600
13,7800
14,9100
15,10500
16,12000
17,13600
18,15300
19,17100
20,19000
21,21000
22,23100
23,25300
24,27600
25,30000
26,32500
27,35100
28,37800
29,40600
30,43500
31,46500
32,49600
33,52800
34,56100
35,59500
36,63000
37,66600
38,70300
39,74100
40,78000
41,82000
42,86100
43,90300
44,94600
45,99000
46,103500
47,108100
48,112800
49,117600
50,122500
51,127500
52,132700
53,138100
54,143700
55,149500
56,155500
57,161700
58,168100
59,174700
60,181500
61,188500
62,195800
63,203400
64,211300
65,219500
66,228000
67,236800
68,245900
69,255300
70,265000
71,275000
72,285400
73,296200
74,307400
75,319000
76,331000
77,343400
78,356200
79,369400
80,383000
81,397000
82,411500
83,426500
84,442000
85,458000
86,474500
87,491500
88,509000
89,527000
90,545500
91,564500
92,584500
93,606500
94,631500
95,661500
96,701500
97,761500
98,851500
99,1000000
